id,title,date,link,place,name__label,name__content,credit,medium,image
edanmdm-chndm_1952-161-211-a_b,Pleated fan and case,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105695,France,Painter,J. Creven,Gift of Anonymous Donor,"Painted and embroidered silk leaf, pierced, engraved and gilded horn sticks",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-211-arMattFlynn
,,,,,Manufacturer,"Ernest Kees Fabrique d'Eventail, (Paris, France)",,,
edanmdm-chndm_1952-161-206,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105688,France,Designer,"Charles Bour, (French, 1814–1881)",Gift of Anonymous Donor,"Gilded paper leaf with hand-colored lithographs framed by embossed, glazed paper, gilded and painted mother-of-pearl sticks with hand-colored lithograph, mirror with gold frame in guards, white paste jewel rivet head, gilt metal bail, silk tassel with gilt ornaments and beads",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-206obverseMattFlynn
edanmdm-chndm_1952-161-134-a_e,Lock and hinge,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105604,Spain,,,Gift of Anonymous Donor,"Cast and engraved steel, iron",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-134aEllen
edanmdm-chndm_1967-48-96,Ewer,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139356,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-664A369AFF582_02
,,,,,Decorator,"Albert R. Valentien (American, 1862-1925), American, 1862 - 1925",,,
edanmdm-chndm_1928-15-4-a_b_c_g_h_m_n_,7 fragments of vessels,1928,https://collection.cooperhewitt.org/view/objects/asitem/id/43527,Syria,,,Gift of Anonymous Donor,Glass,https://ids.si.edu/ids/deliveryService?id=CHSDM-FA56C9A1E4E72-000001
edanmdm-chndm_1952-161-199,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105679,England,,,Gift of Anonymous Donor,"Gilded parchment leaf painted with gouache, ivory sticks carved à jour, carved and pierced ivory guards overlaid with gold foil, ivory button at rivet",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-199obvMattFlynn
edanmdm-chndm_1957-100-3-a_f,Raphael,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115885,Rhode Island,Manufacturer,"Gorham Manufacturing Company, Providence, Rhode Island, USA, founded 1818",Gift of Anonymous Donor,Silver,https://ids.si.edu/ids/deliveryService?id=CHSDM-EF0673B9A0D92-000001
edanmdm-chndm_1928-15-4-p_q_r_s_u_w_x,7 fragments of vessels,1928,https://collection.cooperhewitt.org/view/objects/asitem/id/214244,Syria,,,Gift of Anonymous Donor,glass,https://ids.si.edu/ids/deliveryService?id=CHSDM-B2220376BC242-000001
edanmdm-chndm_1952-161-197,Brisé fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105677,France,,,Gift of Anonymous Donor,"Ivory sticks painted in oil and finished with Vernis Martin, tortoise shell overlay on guards, mother-of-pearl rivet, silk ribbon",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-197obvMattFlynn
edanmdm-chndm_1952-166-45-a_d,Fragment,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105984,Italy,,,Gift of Anonymous Donor,Medium: silk Technique: 5-harness satin damask,https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-45-aMattFlynn
edanmdm-chndm_1952-160-1,Architect's Table,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105561,Neuwied,Maker,"David Roentgen, German, 1743–1807",Gift of Anonymous Donor,"oak, mahogany, walnut, pine, cherry; bronze, brass, iron, steel, gold; leather, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-160-1detail1Zeray
edanmdm-chndm_1952-166-103-a_c,Hot Water Urn and Stand,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105951,London,Maker,"Auguste Le Sage, British",Gift of Anonymous Donor,"silver, bone",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-103acv1
edanmdm-chndm_1953-24-3-a_o,Board game,1953,https://collection.cooperhewitt.org/view/objects/asitem/id/109029,France,,,Gift of Anonymous Donor,"Cardboard with painted and gilded decoration, backed with printed paper",https://ids.si.edu/ids/deliveryService?id=CHSDM-F0F6D5BC6A672-000001
edanmdm-chndm_1977-119-1,Panel,1977,https://collection.cooperhewitt.org/view/objects/asitem/id/156922,Persia,Artist,Unknown,Gift of Anonymous Donor,Medium: silk and metal-wrapped silk-core threads Technique: supplementary warp pile (velvet) in a 4&1 satin weave foundation with three warps in each pile warp unit; use of pile warp substitution; use of supplementary facing wefts bound in 1Z4 twill order; use of looped discontinuous supplementary wefts bound in 2Z3 twill order Label: silk velvet with metallic facing wefts,https://ids.si.edu/ids/deliveryService?id=CHSDM-156922_01
edanmdm-chndm_1949-149-2-a_b,Covered Butter Dish,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99878,Germany,Manufacturer,"Meissen Porcelain Manufactory, German, active from 1710 to the present",Gift of Anonymous Donor,"hard paste porcelain, vitreous enamel",https://ids.si.edu/ids/deliveryService?id=CHSDM-852A6A088B1C2_01
edanmdm-chndm_1967-48-117,Vase,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139245,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed and hand-painted earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-7B4E13E5A4E82_02
,,,,,Decorator,"Kataro Shirayamadani, Japanese, 1865–1948",,,
edanmdm-chndm_1949-149-3-a_b,Covered Butter Dish,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99879,Germany,Manufacturer,"Meissen Porcelain Manufactory, German, active from 1710 to the present",Gift of Anonymous Donor,"hard paste porcelain, vitreous enamel",https://ids.si.edu/ids/deliveryService?id=CHSDM-EE8A69E943E72_01
edanmdm-chndm_1967-48-123,"Mantle Clock Supported by a Hotei (""Laughing Buddha"")",1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139253,France,Manufacturer,"Mennecy Porcelain Manufactory, French, active 1735 – 1773",Gift of Anonymous Donor,"soft paste porcelain; enamel, brass, steel, glass, bronze, gold, porcelain",https://ids.si.edu/ids/deliveryService?id=CHSDM-139253_02
,,,,,Maker,"Claude du Grand Mesnil, French, 1716 – 1757",,,
edanmdm-chndm_1934-18-1-a_g,"Sewing Book, I.E.A., N.Y.",1934,https://collection.cooperhewitt.org/view/objects/asitem/id/53498,New York,Manufacturer,The Industrial Education Association,Gift of Anonymous Donor,"Label: embroidered linen cover, ink on paper pages, cotton and linen samples embroidered with silk, metal fasteners",https://ids.si.edu/ids/deliveryService?id=CHSDM-53498_01-000001
edanmdm-chndm_1952-161-230-a_b,Pleated fan and case,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105716,France,,,Gift of Anonymous Donor,"Silk leaf, pierced, carved and painted ivory sticks with applied gold foil",https://ids.si.edu/ids/deliveryService?id=CHSDM-105716_01-000001
edanmdm-chndm_1952-161-239,Fan leaf,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105725,England,,,Gift of Anonymous Donor,Gouache-painted parchment,https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-239MattFlynn
edanmdm-chndm_1952-161-240,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105727,England,,,Gift of Anonymous Donor,"Paper leaf backed with parchment, gilded and painted with watercolour, carved and pierced ivory sticks with silver and gold spangles, mother-of-pearl plaque at rivet",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-240oMattFlynn
edanmdm-chndm_1952-166-44,Panel,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105983,France,,,Gift of Anonymous Donor,"Medium: silk and metallic embroidery, linen foundation Technique: embroidered in satin, outline and counted stitches",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-44MattFlynn
edanmdm-chndm_1952-166-48-a_c,Textile,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105988,Italy,,,Gift of Anonymous Donor,"Medium: silk, metal-wrapped silk thread Technique: compound satin with supplementary weft",https://ids.si.edu/ids/deliveryService?id=CHSDM-A8BFAA70E04A2-000001
edanmdm-chndm_1957-100-21-a_b,Eraser and Sheath,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115884,Rhode Island,Manufacturer,"Gorham Manufacturing Company, Providence, Rhode Island, USA, founded 1818",Gift of Anonymous Donor,"silver, mother-of-pearl, chrome steel, leather",https://ids.si.edu/ids/deliveryService?id=CHSDM-CBE6E4CB6F052-000001
edanmdm-chndm_1967-48-42-a_b,Bilboquet,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139290,France,,,Gift of Anonymous Donor,"Ivory, silk cord (replacement)",https://ids.si.edu/ids/deliveryService?id=CHSDM-F8B8EBEE2A4B2-000001
edanmdm-chndm_1949-151-16-c_d,Cup and Saucer,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/227880,Doccia,Manufacturer,"Doccia Porcelain Factory, Italian, established 1735",Gift of Anonymous Donor,"porcelain, vitreous enamel, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-5C153E6502D42-000001
edanmdm-chndm_1949-151-16-a_b,Cup and Saucer,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99924,Italy,Manufacturer,"Doccia Porcelain Factory, Italian, established 1735",Gift of Anonymous Donor,"porcelain, vitreous enamel, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-1949-151-16abEllenMcDermott
edanmdm-chndm_1949-149-8,Plate,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99884,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-99884_02
edanmdm-chndm_1952-161-211-a_b,Pleated fan and case,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105695,France,Painter,J. Creven,Gift of Anonymous Donor,"Painted and embroidered silk leaf, pierced, engraved and gilded horn sticks",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-211-arMattFlynn
,,,,,Manufacturer,"Ernest Kees Fabrique d'Eventail, (Paris, France)",,,
edanmdm-chndm_1952-161-206,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105688,France,Designer,"Charles Bour, (French, 1814–1881)",Gift of Anonymous Donor,"Gilded paper leaf with hand-colored lithographs framed by embossed, glazed paper, gilded and painted mother-of-pearl sticks with hand-colored lithograph, mirror with gold frame in guards, white paste jewel rivet head, gilt metal bail, silk tassel with gilt ornaments and beads",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-206obverseMattFlynn
edanmdm-chndm_1952-161-134-a_e,Lock and hinge,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105604,Spain,,,Gift of Anonymous Donor,"Cast and engraved steel, iron",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-134aEllen
edanmdm-chndm_1967-48-96,Ewer,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139356,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-664A369AFF582_02
,,,,,Decorator,"Albert R. Valentien (American, 1862-1925), American, 1862 - 1925",,,
edanmdm-chndm_1928-15-4-a_b_c_g_h_m_n_,7 fragments of vessels,1928,https://collection.cooperhewitt.org/view/objects/asitem/id/43527,Syria,,,Gift of Anonymous Donor,Glass,https://ids.si.edu/ids/deliveryService?id=CHSDM-FA56C9A1E4E72-000001
edanmdm-chndm_1952-161-199,Pleated fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105679,England,,,Gift of Anonymous Donor,"Gilded parchment leaf painted with gouache, ivory sticks carved à jour, carved and pierced ivory guards overlaid with gold foil, ivory button at rivet",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-199obvMattFlynn
edanmdm-chndm_1957-100-3-a_f,Raphael,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115885,Rhode Island,Manufacturer,"Gorham Manufacturing Company, Providence, Rhode Island, USA, founded 1818",Gift of Anonymous Donor,Silver,https://ids.si.edu/ids/deliveryService?id=CHSDM-EF0673B9A0D92-000001
edanmdm-chndm_1928-15-4-p_q_r_s_u_w_x,7 fragments of vessels,1928,https://collection.cooperhewitt.org/view/objects/asitem/id/214244,Syria,,,Gift of Anonymous Donor,glass,https://ids.si.edu/ids/deliveryService?id=CHSDM-B2220376BC242-000001
edanmdm-chndm_1952-161-197,Brisé fan,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105677,France,,,Gift of Anonymous Donor,"Ivory sticks painted in oil and finished with Vernis Martin, tortoise shell overlay on guards, mother-of-pearl rivet, silk ribbon",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-161-197obvMattFlynn
edanmdm-chndm_1952-166-45-a_d,Fragment,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105984,Italy,,,Gift of Anonymous Donor,Medium: silk Technique: 5-harness satin damask,https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-45-aMattFlynn
edanmdm-chndm_1952-160-1,Architect's Table,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105561,Neuwied,Maker,"David Roentgen, German, 1743–1807",Gift of Anonymous Donor,"oak, mahogany, walnut, pine, cherry; bronze, brass, iron, steel, gold; leather, gold",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-160-1detail1Zeray
edanmdm-chndm_1952-166-103-a_c,Hot Water Urn and Stand,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105951,London,Maker,"Auguste Le Sage, British",Gift of Anonymous Donor,"silver, bone",https://ids.si.edu/ids/deliveryService?id=CHSDM-1952-166-103acv1
edanmdm-chndm_1953-24-3-a_o,Board game,1953,https://collection.cooperhewitt.org/view/objects/asitem/id/109029,France,,,Gift of Anonymous Donor,"Cardboard with painted and gilded decoration, backed with printed paper",https://ids.si.edu/ids/deliveryService?id=CHSDM-F0F6D5BC6A672-000001
edanmdm-chndm_1977-119-1,Panel,1977,https://collection.cooperhewitt.org/view/objects/asitem/id/156922,Persia,Artist,Unknown,Gift of Anonymous Donor,Medium: silk and metal-wrapped silk-core threads Technique: supplementary warp pile (velvet) in a 4&1 satin weave foundation with three warps in each pile warp unit; use of pile warp substitution; use of supplementary facing wefts bound in 1Z4 twill order; use of looped discontinuous supplementary wefts bound in 2Z3 twill order Label: silk velvet with metallic facing wefts,https://ids.si.edu/ids/deliveryService?id=CHSDM-156922_01
edanmdm-chndm_1949-149-2-a_b,Covered Butter Dish,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99878,Germany,Manufacturer,"Meissen Porcelain Manufactory, German, active from 1710 to the present",Gift of Anonymous Donor,"hard paste porcelain, vitreous enamel",https://ids.si.edu/ids/deliveryService?id=CHSDM-852A6A088B1C2_01
edanmdm-chndm_1967-48-117,Vase,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139245,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Glazed and hand-painted earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-7B4E13E5A4E82_02
,,,,,Decorator,"Kataro Shirayamadani, Japanese, 1865–1948",,,
edanmdm-chndm_1949-149-3-a_b,Covered Butter Dish,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99879,Germany,Manufacturer,"Meissen Porcelain Manufactory, German, active from 1710 to the present",Gift of Anonymous Donor,"hard paste porcelain, vitreous enamel",https://ids.si.edu/ids/deliveryService?id=CHSDM-EE8A69E943E72_01
edanmdm-chndm_1967-48-123,"Mantle Clock Supported by a Hotei (""Laughing Buddha"")",1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139253,France,Manufacturer,"Mennecy Porcelain Manufactory, French, active 1735 – 1773",Gift of Anonymous Donor,"soft paste porcelain; enamel, brass, steel, glass, bronze, gold, porcelain",https://ids.si.edu/ids/deliveryService?id=CHSDM-139253_02
,,,,,Maker,"Claude du Grand Mesnil, French, 1716 – 1757",,,
edanmdm-chndm_1934-18-1-a_g,"Sewing Book, I.E.A., N.Y.",1934,https://collection.cooperhewitt.org/view/objects/asitem/id/53498,New York,Manufacturer,The Industrial Education Association,Gift of Anonymous Donor,"Label: embroidered linen cover, ink on paper pages, cotton and linen samples embroidered with silk, metal fasteners",https://ids.si.edu/ids/deliveryService?id=CHSDM-53498_01-000001
edanmdm-chndm_1941-97-1,Fragment,1941,https://collection.cooperhewitt.org/view/objects/asitem/id/75771,Slovakia,,,Gift of Anonymous Donor Gift of Anonymous Donor,Medium: linen Technique: sprang,https://ids.si.edu/ids/deliveryService?id=CHSDM-F79C054EB13A2-000001
edanmdm-chndm_1952-161-7,Key,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105805,France,,,Gift of Anonymous Donor,Steel,https://ids.si.edu/ids/deliveryService?id=CHSDM-97EFC09E11952-000001
edanmdm-chndm_1952-161-11,Key,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105576,,,,Gift of Anonymous Donor,Steel,https://ids.si.edu/ids/deliveryService?id=CHSDM-18AD812A52612-000001
edanmdm-chndm_1952-161-23,Key,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105715,France,,,Gift of Anonymous Donor,Steel,https://ids.si.edu/ids/deliveryService?id=CHSDM-DF2D4A738D112-000001
edanmdm-chndm_a-t-245,Fragment,1998,https://collection.cooperhewitt.org/view/objects/asitem/id/204148,France,,,Gift of Anonymous Donor,Medium: silk Technique: painted,https://ids.si.edu/ids/deliveryService?id=CHSDM-A437705AB38C2-000001
edanmdm-chndm_a-t-266,Fragment,1998,https://collection.cooperhewitt.org/view/objects/asitem/id/204152,China,,,Gift of Anonymous Donor,Medium: silk Technique: painted,https://ids.si.edu/ids/deliveryService?id=CHSDM-9E5F38CF7E672-000001
edanmdm-chndm_1967-45-119,Pendant,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/138944,Italy,,,Gift of Anonymous Donor,"Gold, glass mosaics",https://ids.si.edu/ids/deliveryService?id=CHSDM-E530711F8EAD2-000001
edanmdm-chndm_1967-45-207,Brooch,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139041,India,,,Gift of Anonymous Donor,Silver,https://ids.si.edu/ids/deliveryService?id=CHSDM-FCE9872748872-000001
edanmdm-chndm_1952-161-3,Key,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105761,France,,,Gift of Anonymous Donor,Steel,https://ids.si.edu/ids/deliveryService?id=CHSDM-CB550B6D7CBC2-000001
,,,,,Manufacturer,"J. & L. Lobmeyr GmbH, Vienna, Austria, founded ca. 1935",,,
edanmdm-chndm_1941-88-28,Chinese Chippendale,1941,https://collection.cooperhewitt.org/view/objects/asitem/id/75570,France,Printer,"Desfossé et Karth, French, 1863",Gift of Anonymous Donor,Block-printed paper,https://ids.si.edu/ids/deliveryService?id=CHSDM-1941-88-28-30MattFlynn
edanmdm-chndm_1941-88-30,Chinese Chippendale,1941,https://collection.cooperhewitt.org/view/objects/asitem/id/75573,France,Printer,"Desfossé et Karth, French, 1863",Gift of Anonymous Donor,Block-printed paper,https://ids.si.edu/ids/deliveryService?id=CHSDM-1941-88-28-30MattFlynn
,,,,,Print Maker,"C.F. Lottes, 1701 - 1740",,,
edanmdm-chndm_1941-67-1,Panel,1941,https://collection.cooperhewitt.org/view/objects/asitem/id/75158,China,,,Gift of Anonymous Donor,Medium: silk; pineapple fiber; tempera Technique: painted on fancy gauze,https://ids.si.edu/ids/deliveryService?id=CHSDM-89751440B4F72-000001
edanmdm-chndm_1948-14-5,Sidewall,1948,https://collection.cooperhewitt.org/view/objects/asitem/id/98060,USA,Manufacturer,"Thomas Strahan & Co., Manufactory",Anonymous Gift,Machine-printed,https://ids.si.edu/ids/deliveryService?id=CHSDM-B833A8429B292-000001
edanmdm-chndm_1952-166-111-a_b,Box and cover,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/105960,England,,,Gift of Anonymous Donor,"Molded unglazed, tinted stoneware (Jasperware)",https://ids.si.edu/ids/deliveryService?id=CHSDM-CCFBCA0FE2712-000001
edanmdm-chndm_1957-61-17,Concert de Famille,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/120199,Germany,Print Maker,"Wilhelm Krauskopf, German, founded 1847",Gift of Anonymous Donor,Etching in dark brown ink on white satin,https://ids.si.edu/ids/deliveryService?id=CHSDM-302F6B04C3912-000001
,,,,,After,"Friedrich Uhde, German, 1848 - 1911",,,
edanmdm-chndm_1957-61-55,Chrysanthemum,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/120242,New York,Manufacturer,"Tiffany & Company, American, established 1853",Gift of Anonymous Donor,Silver,https://ids.si.edu/ids/deliveryService?id=CHSDM-BC6121D7DAE42-000001
,,,,,Patentee,"Charles T. Grosjean, American, d. 1888",,,
edanmdm-chndm_1967-46-6,Cap streamer,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139179,Belgium,,,Gift of Anonymous Donor,Medium: linen Technique: bobbin lace (Mechlin style),https://ids.si.edu/ids/deliveryService?id=CHSDM-2094C03684902-000001
edanmdm-chndm_1967-48-95,Vase,1967,https://collection.cooperhewitt.org/view/objects/asitem/id/139355,USA,Manufacturer,"Rookwood Pottery, American, 1880 - 1967",Gift of Anonymous Donor,Earthenware,https://ids.si.edu/ids/deliveryService?id=CHSDM-AB4192E76BD42-000001
edanmdm-chndm_1948-14-19-a_b,Sidewall,1948,https://collection.cooperhewitt.org/view/objects/asitem/id/98056,USA,,,Anonymous gift,"Machine-printed on paper, glazed",https://ids.si.edu/ids/deliveryService?id=CHSDM-1948-14-19-bMattFlynn
edanmdm-chndm_1949-151-13,Frame,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99921,USA,,,Gift of Anonymous Donor,"Brass, tin and glass",https://ids.si.edu/ids/deliveryService?id=CHSDM-44986CEB368E2-000001
edanmdm-chndm_1949-151-8,Cane Handle,1949,https://collection.cooperhewitt.org/view/objects/asitem/id/99935,Morocco,,,Gift of Anonymous Donor,"wood, silver",https://ids.si.edu/ids/deliveryService?id=CHSDM-03ED2651015D2-000001
edanmdm-chndm_1952-60-1-b,The Harper,1952,https://collection.cooperhewitt.org/view/objects/asitem/id/106315,USA,Engraver,"John Sartain, American, 1808–1897",Gift of Anonymous Donor,Mezzotint and engraving in black ink on paper,https://ids.si.edu/ids/deliveryService?id=CHSDM-AE7ED6F65E272-000001
,,,,,After,"Thomas Stothard, British, 1755–1834",,,
edanmdm-chndm_1953-178-79,Scarf pin with salamander,1953,https://collection.cooperhewitt.org/view/objects/asitem/id/108241,France,,,Gift of Anonymous Donor,"Gold, silver, pastes",https://ids.si.edu/ids/deliveryService?id=CHSDM-D56037A0F9D62-000001
edanmdm-chndm_1957-100-4,Bowl,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115886,USA,Maker,"Meriden Silver Plate Company, 1869–1898",Gift of Anonymous Donor,Silver-plated copper,https://ids.si.edu/ids/deliveryService?id=CHSDM-510743EF1D812-000001
edanmdm-chndm_1957-61-12,Maximilian I,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/120194,Germany,Artist,"Victor Jasper, Austrian, 1848 - 1931",Gift of Anonymous Donor,Etching in dark brown ink on white satin,https://ids.si.edu/ids/deliveryService?id=CHSDM-9C0D7EAF291E2-000001
,,,,,After,"Albrecht Dürer, German, 1471–1528",,,
edanmdm-chndm_1957-61-30,The Vesper Bell,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/120215,Switzerland,Print Maker,"Axel Herman Haig, Swiss, 1835 - 1921",Gift of Anonymous Donor,Etching in brown ink on cream-colored heavy paper,https://ids.si.edu/ids/deliveryService?id=CHSDM-39D7D24DE54B2-000001
edanmdm-chndm_1957-100-8-a_c,Tea Infuser with Stand,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/115890,New York,Maker,Whiting Manufacturing. Co.,Gift of Anonymous Donor,silver,https://ids.si.edu/ids/deliveryService?id=CHSDM-85E4856D837C2-000001
edanmdm-chndm_1957-61-13,Boutique de Tailleur à Venise,1957,https://collection.cooperhewitt.org/view/objects/asitem/id/120195,Germany,Artist,"William Unger, German, 1837 - 1932",Gift of Anonymous Donor,Etching in dark brown ink on white satin,https://ids.si.edu/ids/deliveryService?id=CHSDM-0D887F365AA52-000001
,,,,,After,"Eugen von Blaas, Austrian, 1843 - 1931",,,
